filepath,label,tumor,sequence
/content/brain_mri_work/clean/Astrocytoma/6bbe3a2a8f2dc72c73bca7f43af0e1_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,T1
/content/brain_mri_work/clean/Astrocytoma/astro_infraT (8)_clean.jpg,Astrocytoma,Astrocytoma,T1
/content/brain_mri_work/clean/Astrocytoma/b1dfd61cc8b1731e0978c20f1564f6_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,T1
/content/brain_mri_work/clean/Astrocytoma/astro_infraT (8)_clean.jpg,Astrocytoma,Astrocytoma,T1
/content/brain_mri_work/clean/Astrocytoma/astro_infraT (27)_clean.jpg,Astrocytoma,Astrocytoma,T1
/content/brain_mri_work/clean/Astrocytoma/f171a4d824355b3c61fde111a79a08_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,T1
/content/brain_mri_work/clean/Astrocytoma/astro_infraT (3)_clean.jpg,Astrocytoma,Astrocytoma,T1
/content/brain_mri_work/clean/Astrocytoma/2022-06-08 14_08_24-Window_clean.jpg,Astrocytoma,Astrocytoma,T1
/content/brain_mri_work/clean/Astrocytoma/astro_infraT (2)_clean.jpg,Astrocytoma,Astrocytoma,T1
/content/brain_mri_work/clean/Astrocytoma/9d6beb444f3e559a886d06a5d84bc8_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,T1
/content/brain_mri_work/clean/Astrocytoma/56920d2bec52cfe05f248857120d54_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,T1
/content/brain_mri_work/clean/Astrocytoma/1492ae4325c115eccae71ebb3e995907dbef123dfd9ed8a32d7f8a64bb03115b_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,T1
/content/brain_mri_work/clean/Astrocytoma/astro_infraT (11)_clean.jpg,Astrocytoma,Astrocytoma,T1
/content/brain_mri_work/clean/Astrocytoma/astro_infraT (17)_clean.jpg,Astrocytoma,Astrocytoma,T1
/content/brain_mri_work/clean/Astrocytoma/01809e58d2c1e7fff56cc5d8520f5a0500e22624a400948250b05f2ae0a1f177_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,T1
/content/brain_mri_work/clean/Astrocytoma/1e954d53fb29f566bd2139bd7ab62c_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,T1
/content/brain_mri_work/clean/Astrocytoma/2022-06-08 14_08_08-Window_clean.jpg,Astrocytoma,Astrocytoma,T1
/content/brain_mri_work/clean/Astrocytoma/2022-06-07 13_30_00-Window_clean.jpg,Astrocytoma,Astrocytoma,T1
/content/brain_mri_work/clean/Astrocytoma/astro_infraT (10)_clean.jpg,Astrocytoma,Astrocytoma,T1
/content/brain_mri_work/clean/Astrocytoma/2022-06-07 13_30_21-Window_clean.jpg,Astrocytoma,Astrocytoma,T1
/content/brain_mri_work/clean/Astrocytoma/3cd4a51d96453d0da7065ed5f6f8041c3a11b1d3ad04784c6b5d8b95c02e3f07_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,T1
/content/brain_mri_work/clean/Astrocytoma/astro_infraT (25)_clean.jpg,Astrocytoma,Astrocytoma,T1
/content/brain_mri_work/clean/Astrocytoma/64750f7d7ab568cc3b88d04cc9028ad90296e5b7e979e3bc41edb270b34080fd_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,T1
/content/brain_mri_work/clean/Astrocytoma/astro_infraT (3)_clean.jpg,Astrocytoma,Astrocytoma,T1
/content/brain_mri_work/clean/Astrocytoma/astro_infraT (14)_clean.jpg,Astrocytoma,Astrocytoma,T1
/content/brain_mri_work/clean/Astrocytoma/astro_infraT (1)_clean.jpg,Astrocytoma,Astrocytoma,T1
/content/brain_mri_work/clean/Astrocytoma/astro_infraT (9)_clean.jpg,Astrocytoma,Astrocytoma,T1
/content/brain_mri_work/clean/Astrocytoma/astro_infraT (6)_clean.jpg,Astrocytoma,Astrocytoma,T1
/content/brain_mri_work/clean/Astrocytoma/2022-06-08 14_08_37-Window_clean.jpg,Astrocytoma,Astrocytoma,T1
/content/brain_mri_work/clean/Astrocytoma/astro_infraT (12)_clean.jpg,Astrocytoma,Astrocytoma,T1
/content/brain_mri_work/clean/Astrocytoma/ae69e7f2ddfaffeaefae370665e55df2d62eb1309ba41bb60c277d4ee277c864_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,T1
/content/brain_mri_work/clean/Astrocytoma/astro_infraT (14)_clean.jpg,Astrocytoma,Astrocytoma,T1
/content/brain_mri_work/clean/Astrocytoma/da4b5a7eaa32abcceb757ca85597c3b4d0adc63584d214e4721ed2e7c8154082_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,T1
/content/brain_mri_work/clean/Astrocytoma/e5453c06a42a63726edd1a9e069c56_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,T1
/content/brain_mri_work/clean/Astrocytoma/astro_infraT (12)_clean.jpg,Astrocytoma,Astrocytoma,T1
/content/brain_mri_work/clean/Astrocytoma/8d915e2bda593325d7dc7a303e26d9b73ca545cca093e8285f7bb342de82d846_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,T1
/content/brain_mri_work/clean/Astrocytoma/2022-06-08 14_10_13-Window_clean.jpg,Astrocytoma,Astrocytoma,UNK
/content/brain_mri_work/clean/Astrocytoma/c1264a59d3c33816a4a221c1c658bc_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,UNK
/content/brain_mri_work/clean/Astrocytoma/8d9260658ca8b8bd7d6238bab78f41_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,UNK
/content/brain_mri_work/clean/Astrocytoma/5f8cae5b4e1c82ec943d312a18159749dc2f8e7d2efcea3e3de36fab85f7cd22_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,UNK
/content/brain_mri_work/clean/Astrocytoma/110_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,UNK
/content/brain_mri_work/clean/Astrocytoma/aa7dbdbb98a6e0bf26f0174d6c94bb_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,UNK
/content/brain_mri_work/clean/Astrocytoma/378312b8de99a75a4768f21d302eb0_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,UNK
/content/brain_mri_work/clean/Astrocytoma/2022-06-07 13_46_27-Window_clean.jpg,Astrocytoma,Astrocytoma,UNK
/content/brain_mri_work/clean/Astrocytoma/IM0012_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,UNK
/content/brain_mri_work/clean/Astrocytoma/99_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,UNK
/content/brain_mri_work/clean/Astrocytoma/6cca2f0216bba2d0e1998826161b44_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,UNK
/content/brain_mri_work/clean/Astrocytoma/9860b59d64c66533fbb84894b7b5b0dada1edb13128799fd3665c7d552e11caa_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,UNK
/content/brain_mri_work/clean/Astrocytoma/723e5e39ae6dfb80910f4cfd3b271780da35ef24f11d3ae6fec672c7a9231d53_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,UNK
/content/brain_mri_work/clean/Astrocytoma/2eb1a60ea8e5288b3d2f9949d0c98b_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,UNK
/content/brain_mri_work/clean/Astrocytoma/2022-06-07 13_46_15-Window_clean.jpg,Astrocytoma,Astrocytoma,UNK
/content/brain_mri_work/clean/Astrocytoma/cd90aa434c0e1d8904737ee9e29758_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,UNK
/content/brain_mri_work/clean/Astrocytoma/ace82a432afc654a49d970c5a35662_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,UNK
/content/brain_mri_work/clean/Astrocytoma/2aea47252532ec7bc3907a68148084_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,UNK
/content/brain_mri_work/clean/Astrocytoma/1eb0bce38c890f4c047106e4bf54f5_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,UNK
/content/brain_mri_work/clean/Astrocytoma/b846f15e1fc48df774fb2c3f25d3c1_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,UNK
/content/brain_mri_work/clean/Astrocytoma/2022-06-07 13_46_24-Window_clean.jpg,Astrocytoma,Astrocytoma,UNK
/content/brain_mri_work/clean/Astrocytoma/d4a0c7c6e53c7e2f65ccb71e407ada_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,UNK
/content/brain_mri_work/clean/Astrocytoma/9d6e68876e621332e0a47e972c4cfd_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,UNK
/content/brain_mri_work/clean/Astrocytoma/2022-06-08 14_09_51-Window_clean.jpg,Astrocytoma,Astrocytoma,UNK
/content/brain_mri_work/clean/Astrocytoma/03869ea0fd4a9c173ac47c656900d6_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,UNK
/content/brain_mri_work/clean/Astrocytoma/2dff563f91204a90a0148442de1db07ef23e6305f32b3933d2434a85c42f6c27_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,UNK
/content/brain_mri_work/clean/Astrocytoma/d5be55f80ec34b5113d74f2815a070_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,UNK
/content/brain_mri_work/clean/Astrocytoma/2022-06-08 14_10_40-Window_clean.jpg,Astrocytoma,Astrocytoma,UNK
/content/brain_mri_work/clean/Astrocytoma/2022-06-07 13_46_31-Window_clean.jpg,Astrocytoma,Astrocytoma,UNK
/content/brain_mri_work/clean/Astrocytoma/8d29025dd5867c3459d8af73fbc5b6_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,UNK
/content/brain_mri_work/clean/Astrocytoma/e122d7db9d094f881ec919bac1614b_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,UNK
/content/brain_mri_work/clean/Astrocytoma/9f21b772b0f1ee637fff6f9f5dd9ed_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,UNK
/content/brain_mri_work/clean/Astrocytoma/13989b9b62eee23e2f52d95fae66d71aa5099485d864c9379f17e10d739c4b73_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,UNK
/content/brain_mri_work/clean/Astrocytoma/3194bf10a35d373dea33ee977d8546_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,UNK
/content/brain_mri_work/clean/Astrocytoma/IM0011_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,UNK
/content/brain_mri_work/clean/Astrocytoma/454ae9b46bd8645d75625743ceddec_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,UNK
/content/brain_mri_work/clean/Astrocytoma/2022-06-07 13_31_07-Window_clean.jpg,Astrocytoma,Astrocytoma,UNK
/content/brain_mri_work/clean/Astrocytoma/2931d96b5a0d92572759aee70b1fde_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,UNK
/content/brain_mri_work/clean/Astrocytoma/440c41b7e68ca48225e322f53cd94e_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,UNK
/content/brain_mri_work/clean/Astrocytoma/b4cd3a4cfee5edf10bbb991b3ad861_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,UNK
/content/brain_mri_work/clean/Astrocytoma/a8b6d18b3e1b420973e3b2ebf06e32416a9a10f45d83338adbef530180fdbc50_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,UNK
/content/brain_mri_work/clean/Astrocytoma/1fb76d642372c66de505a65cc14e39_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,UNK
/content/brain_mri_work/clean/Astrocytoma/2022-06-07 13_46_19-Window_clean.jpg,Astrocytoma,Astrocytoma,UNK
/content/brain_mri_work/clean/Astrocytoma/2022-06-08 14_10_35-Window_clean.jpg,Astrocytoma,Astrocytoma,UNK
/content/brain_mri_work/clean/Astrocytoma/377011d71a4bf7f08c8fd7a75b65e5_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,UNK
/content/brain_mri_work/clean/Astrocytoma/cc4b8de9741dd71c8123909453ad48_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,UNK
/content/brain_mri_work/clean/Astrocytoma/a0287325a058f14666d4ef48d28c9e_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,UNK
/content/brain_mri_work/clean/Astrocytoma/3f839ba0a9c1336d04b21e8e4af1add1902270bc21f9de9348d71dff910973aa_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,UNK
/content/brain_mri_work/clean/Astrocytoma/68771a9754bebdd6f9718a2fc07356_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,UNK
/content/brain_mri_work/clean/Astrocytoma/25047add94d451ee91edc265833d9b_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,UNK
/content/brain_mri_work/clean/Astrocytoma/2022-06-08 14_10_02-Window_clean.jpg,Astrocytoma,Astrocytoma,UNK
/content/brain_mri_work/clean/Astrocytoma/IMG-0007-00015_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,UNK
/content/brain_mri_work/clean/Astrocytoma/2022-06-08 14_10_22-Window_clean.jpg,Astrocytoma,Astrocytoma,UNK
/content/brain_mri_work/clean/Astrocytoma/b06d430410724cdeb9c8f374da7fe0_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,UNK
/content/brain_mri_work/clean/Astrocytoma/2022-06-07 13_46_22-Window_clean.jpg,Astrocytoma,Astrocytoma,UNK
/content/brain_mri_work/clean/Astrocytoma/2022-06-07 13_47_03-Window_clean.jpg,Astrocytoma,Astrocytoma,T2
/content/brain_mri_work/clean/Astrocytoma/export--689458601_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,T2
/content/brain_mri_work/clean/Astrocytoma/90c5d15068382014b952a24c570761121857268fdcf91fdc850f625aa3aab952_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,T2
/content/brain_mri_work/clean/Astrocytoma/2d98a6731c2bb5f78f58e38793a8bba90db189cdca081acb5c0ba0d13379942e_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,T2
/content/brain_mri_work/clean/Astrocytoma/cd1bee81c4b457e9eb10e45f1fb821_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,T2
/content/brain_mri_work/clean/Astrocytoma/28acf0fd9dc9a5fa3ae69ee28853f8_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,T2
/content/brain_mri_work/clean/Astrocytoma/export--689458607_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,T2
/content/brain_mri_work/clean/Astrocytoma/2022-06-07 13_46_56-Window_clean.jpg,Astrocytoma,Astrocytoma,T2
/content/brain_mri_work/clean/Astrocytoma/2022-06-07 13_47_15-Window_clean.jpg,Astrocytoma,Astrocytoma,T2
/content/brain_mri_work/clean/Astrocytoma/export--689458603_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,T2
/content/brain_mri_work/clean/Astrocytoma/export--689458605_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,T2
/content/brain_mri_work/clean/Astrocytoma/da03615407e92ebf94243f0e36bcde_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,T2
/content/brain_mri_work/clean/Astrocytoma/6ddd92a2af6cd0bbc7ae00c63d1cb1_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,T2
/content/brain_mri_work/clean/Astrocytoma/18a91d55a7d43f33e92202b6810458_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,T2
/content/brain_mri_work/clean/Astrocytoma/2022-06-07 13_47_06-Window_clean.jpg,Astrocytoma,Astrocytoma,T2
/content/brain_mri_work/clean/Astrocytoma/IMG-0001-00006_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,T2
/content/brain_mri_work/clean/Astrocytoma/export--689458600_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,T2
/content/brain_mri_work/clean/Astrocytoma/663a6a6aef142daf50e32f0d3876b7_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,T2
/content/brain_mri_work/clean/Astrocytoma/IMG-0001-00005_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,T2
/content/brain_mri_work/clean/Astrocytoma/8b624900ca61c47101de9b73d3c9e2_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,T2
/content/brain_mri_work/clean/Astrocytoma/6f4c8826348234b477de39bf4ab0f4_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,T2
/content/brain_mri_work/clean/Astrocytoma/e968ec538fb7f2e5631e92de900154_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,T2
/content/brain_mri_work/clean/Astrocytoma/7679432a7d1ef9dfeb2911fe4b3888_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,T2
/content/brain_mri_work/clean/Astrocytoma/fd67370e8eef35b1cfdc7e943e39b6_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,T2
/content/brain_mri_work/clean/Astrocytoma/155578c1796c04767cfc91286f30cd_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,T2
/content/brain_mri_work/clean/Astrocytoma/IMG-0001-00007_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,T2
/content/brain_mri_work/clean/Astrocytoma/423b9748a8ab99c4129a5bde1ea01b_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,T2
/content/brain_mri_work/clean/Astrocytoma/5cac604942be6719a4abe916fa2fd0_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,T2
/content/brain_mri_work/clean/Astrocytoma/36746410de2a874e6bb3696b3c994a_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,T2
/content/brain_mri_work/clean/Astrocytoma/eff23c911531744a03a900b8a45c1061e06947b4a9c36994bcfde390ed5d138d_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,T2
/content/brain_mri_work/clean/Astrocytoma/2022-06-07 13_46_53-Window_clean.jpg,Astrocytoma,Astrocytoma,T2
/content/brain_mri_work/clean/Astrocytoma/992becd63a8141cb6844b0ab7158ce_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,T2
/content/brain_mri_work/clean/Astrocytoma/090d30e2f05b708fd42fa8a62d3a41_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,T2
/content/brain_mri_work/clean/Astrocytoma/IMG-0001-00011_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,T2
/content/brain_mri_work/clean/Astrocytoma/ebd862c8bfd4028cf422c5b1c0b1bb_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,T2
/content/brain_mri_work/clean/Astrocytoma/2022-06-07 13_47_09-Window_clean.jpg,Astrocytoma,Astrocytoma,T2
/content/brain_mri_work/clean/Astrocytoma/73082ac83de2860c834bd511bab9a3_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,T2
/content/brain_mri_work/clean/Astrocytoma/IMG-0001-00003_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,T2
/content/brain_mri_work/clean/Astrocytoma/8c88566d9476b193fda4d0e7cc0055_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,T2
/content/brain_mri_work/clean/Astrocytoma/e91464b4b55d0a90918d0a43398767_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,T2
/content/brain_mri_work/clean/Astrocytoma/IMG-0001-00008_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,T2
/content/brain_mri_work/clean/Astrocytoma/2022-06-07 13_46_59-Window_clean.jpg,Astrocytoma,Astrocytoma,T2
/content/brain_mri_work/clean/Astrocytoma/2022-06-07 13_46_51-Window_clean.jpg,Astrocytoma,Astrocytoma,T2
/content/brain_mri_work/clean/Astrocytoma/915ac6b86f7ca21449241901cb8bdb_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,T2
/content/brain_mri_work/clean/Astrocytoma/798bcfdaf719781fd4c1b8195c89c8_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,T2
/content/brain_mri_work/clean/Astrocytoma/export--689458569_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,T2
/content/brain_mri_work/clean/Astrocytoma/c653299c6ade8546c11d6a6e1297cd_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,T2
/content/brain_mri_work/clean/Astrocytoma/2022-06-07 13_29_19-Window_clean.jpg,Astrocytoma,Astrocytoma,T2
/content/brain_mri_work/clean/Astrocytoma/IMG-0001-00004_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,T2
/content/brain_mri_work/clean/Astrocytoma/f3b75abb8955a88faff2dab700d2bf_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,T2
/content/brain_mri_work/clean/Astrocytoma/export--689458602_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,T2
/content/brain_mri_work/clean/Astrocytoma/50da2b2f4b4c72b186c43a1f988342bf5c6e0ca5de13bd5664cfdf53fec7d315_big_gallery_clean.jpg,Astrocytoma,Astrocytoma,T2
/content/brain_mri_work/clean/Astrocytoma/2022-06-07 13_47_12-Window_clean.jpg,Astrocytoma,Astrocytoma,T2
/content/brain_mri_work/clean/Carcinoma/115._big_gallery_clean.jpg,Carcinoma,Carcinoma,T1
/content/brain_mri_work/clean/Carcinoma/97._big_gallery_clean.jpg,Carcinoma,Carcinoma,T1
/content/brain_mri_work/clean/Carcinoma/72._big_gallery_clean.jpg,Carcinoma,Carcinoma,T1
/content/brain_mri_work/clean/Carcinoma/102._big_gallery_clean.jpg,Carcinoma,Carcinoma,T1
/content/brain_mri_work/clean/Carcinoma/66._big_gallery_clean.jpg,Carcinoma,Carcinoma,T1
/content/brain_mri_work/clean/Carcinoma/de7ff0f731b01ddf6a752ac67914f7d0066d8eee4abd405227a86a0881e81166_big_gallery_clean.jpg,Carcinoma,Carcinoma,T1
/content/brain_mri_work/clean/Carcinoma/111._big_gallery_clean.jpg,Carcinoma,Carcinoma,T1
/content/brain_mri_work/clean/Carcinoma/74._big_gallery_clean.jpg,Carcinoma,Carcinoma,T1
/content/brain_mri_work/clean/Carcinoma/108._big_gallery_clean.jpg,Carcinoma,Carcinoma,T1
/content/brain_mri_work/clean/Carcinoma/87._big_gallery_clean.jpg,Carcinoma,Carcinoma,T1
/content/brain_mri_work/clean/Carcinoma/82._big_gallery_clean.jpg,Carcinoma,Carcinoma,T1
/content/brain_mri_work/clean/Carcinoma/69._big_gallery_clean.jpg,Carcinoma,Carcinoma,T1
/content/brain_mri_work/clean/Carcinoma/80._big_gallery_clean.jpg,Carcinoma,Carcinoma,T1
/content/brain_mri_work/clean/Carcinoma/96._big_gallery_clean.jpg,Carcinoma,Carcinoma,T1
/content/brain_mri_work/clean/Carcinoma/68._big_gallery_clean.jpg,Carcinoma,Carcinoma,T1
/content/brain_mri_work/clean/Carcinoma/1f7b62094c98cd1b6ea2cbe2ee93db_big_gallery_clean.jpg,Carcinoma,Carcinoma,T1
/content/brain_mri_work/clean/Carcinoma/90._big_gallery_clean.jpg,Carcinoma,Carcinoma,T1
/content/brain_mri_work/clean/Carcinoma/77._big_gallery_clean.jpg,Carcinoma,Carcinoma,T1
/content/brain_mri_work/clean/Carcinoma/888309b872af125cf0d008984115f17474da49131323975546c8b70af0a3d33f_big_gallery_clean.jpg,Carcinoma,Carcinoma,T1
/content/brain_mri_work/clean/Carcinoma/85._big_gallery_clean.jpg,Carcinoma,Carcinoma,T1
/content/brain_mri_work/clean/Carcinoma/2022-06-09 14_10_34-Window_clean.jpg,Carcinoma,Carcinoma,T1
/content/brain_mri_work/clean/Carcinoma/92._big_gallery_clean.jpg,Carcinoma,Carcinoma,T1
/content/brain_mri_work/clean/Carcinoma/76._big_gallery_clean.jpg,Carcinoma,Carcinoma,T1
/content/brain_mri_work/clean/Carcinoma/81._big_gallery_clean.jpg,Carcinoma,Carcinoma,T1
/content/brain_mri_work/clean/Carcinoma/88._big_gallery_clean.jpg,Carcinoma,Carcinoma,T1
/content/brain_mri_work/clean/Carcinoma/2022-06-09 14_10_31-Window_clean.jpg,Carcinoma,Carcinoma,T1
/content/brain_mri_work/clean/Carcinoma/71._big_gallery_clean.jpg,Carcinoma,Carcinoma,T1
